Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
51536020235,33247,425202,12,3,1,128,1,1,142,0.049,0.025,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
51536054282,4928,425210,92,1,1,512,1,1,33,0.000,0.008,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,triton_red_fused_fused_add_rms_norm_0
51536060202,323319,425225,24,9,1,128,1,1,224,0.000,0.082,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Params)
51536384193,21791,425232,3220,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,triton_poi_fused_mul_silu_slice_1
51536406656,346679,425247,8,2,4,256,1,1,222,0.000,0.074,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Params)
51536754071,7424,425249,48,12,1,32,16,1,38,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
51536762135,5855,425261,92,1,1,512,1,1,40,0.000,0.008,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,triton_red_fused_fused_add_rms_norm_2
51536768790,66303,425275,16,3,1,128,1,1,142,0.049,0.025,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,ampere_bf16_s16816gemm_bf16_128x64_ldg8_relu_f2f_stages_32x6_tn
51536835860,3520,425283,322,1,1,128,1,1,47,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,triton_poi_fused_3
51536840052,1952,425288,184,1,1,256,1,1,40,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
51536842708,4064,425325,552,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
51536847412,29503,425355,1,184,2,128,1,1,178,0.000,0.049,,,,,NVIDIA GeForce RTX 3070 (0),1,,25,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
