#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260822    09:31:52       0     15     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:53       0     16     44      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:54       0     16     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:55       0     15     43      -      0      0      0      0      0      0    405    210     99      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:56       0     15     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:57       0     15     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:58       0     15     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:59       0     15     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:00       0     16     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:01       0     16     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:02       0     15     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:03       0     15     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      1 
 20260822    09:32:04       0     15     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:05       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:06       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:07       0     16     43      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:08       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:09       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:11       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:12       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:13       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:14       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:15       0     16     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:16       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:17       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:18       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:19       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:20       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:21       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:22       0     16     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:23       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      1 
 20260822    09:32:24       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:25       0     15     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:26       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:27       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:28       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:29       0     16     42      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:31       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:32       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260822    09:32:33       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:34       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      1 
 20260822    09:32:35       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:36       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:37       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:38       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:39       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:40       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:41       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:42       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:43       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:44       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:45       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:32:46       0     15     41      -      0      0      0      0      0      0    405    210      0      0   6362     11      0      -      -      0     20     10 
