ts,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz
1787380453,0,0,129315,125.00,1980
1787380454,0,0,129315,124.94,1980
1787380456,0,0,129315,124.86,1980
1787380457,0,0,129315,124.76,1980
1787380458,0,0,129315,124.77,1980
1787380459,0,0,129315,124.70,1980
1787380460,0,0,129315,124.71,1980
1787380461,0,0,129315,124.56,1980
1787380462,0,0,129315,124.53,1980
1787380463,0,0,129315,124.44,1980
1787380464,0,0,129315,124.40,1980
1787380465,0,0,129315,124.38,1980
1787380466,0,0,129315,124.26,1980
1787380467,0,0,129315,124.17,1980
1787380468,0,0,129315,124.16,1980
1787380469,0,0,129315,124.05,1980
1787380470,0,0,129315,124.08,1980
1787380471,0,0,129315,124.02,1980
1787380472,0,0,129315,123.86,1980
1787380473,0,0,129315,123.86,1980
1787380474,0,0,129315,123.79,1980
1787380475,0,0,129315,123.86,1980
1787380476,0,0,129315,123.84,1980
1787380477,0,0,129315,123.82,1980
1787380478,0,0,129315,123.79,1980
1787380479,0,0,129315,123.79,1980
1787380480,0,0,129315,123.85,1980
1787380481,0,0,129315,123.90,1980
1787380482,0,0,129315,123.94,1980
1787380483,64,25,129315,143.47,1980
1787380484,0,0,129315,156.33,1980
1787380485,0,0,129315,166.95,1980
1787380486,0,0,129315,124.29,1980
1787380488,0,0,129315,124.31,1980
1787380489,0,0,129315,124.38,1980
1787380490,0,0,129315,124.34,1980
1787380491,0,0,129315,124.34,1980
1787380492,0,0,129315,124.34,1980
1787380493,0,0,129315,124.43,1980
1787380494,0,0,129315,124.38,1980
1787380495,0,0,129315,124.41,1980
1787380496,0,0,129315,124.51,1980
1787380497,0,0,129315,124.50,1980
1787380498,0,0,129315,124.45,1980
1787380499,0,0,129315,124.52,1980
1787380500,0,0,129315,124.59,1980
1787380501,100,30,129315,324.31,1980
1787380502,100,30,129315,318.55,1980
1787380503,100,30,129315,265.85,1980
1787380504,100,32,129315,320.64,1980
1787380505,99,32,129315,332.62,1980
1787380506,100,32,129315,233.64,1980
1787380507,100,32,129315,334.00,1980
1787380508,100,32,129315,333.49,1980
1787380509,100,33,129315,334.13,1980
1787380510,100,33,129315,334.60,1980
1787380511,100,32,129315,334.63,1980
1787380512,100,32,129315,287.08,1980
1787380513,100,33,129315,333.81,1980
1787380514,100,32,129315,278.25,1980
1787380515,100,32,129315,334.54,1980
1787380516,100,32,129315,333.69,1980
1787380518,100,32,129315,283.14,1980
1787380519,8,3,129315,313.70,1980
1787380520,100,32,129315,251.11,1980
1787380521,100,32,129315,334.11,1980
1787380522,100,32,129315,279.26,1980
1787380523,100,32,129315,332.39,1980
1787380524,100,32,129315,334.33,1980
1787380525,100,32,129315,234.41,1980
1787380526,100,32,129315,333.27,1980
1787380527,100,32,129315,334.38,1980
1787380528,100,32,129315,292.44,1980
1787380529,100,32,129315,334.46,1980
1787380530,100,33,129315,334.24,1980
1787380531,100,32,129315,286.37,1980
1787380532,100,32,129315,332.82,1980
1787380533,100,32,129315,285.84,1980
1787380534,100,32,129315,333.96,1980
1787380535,100,33,129315,335.52,1980
1787380536,0,0,129315,238.27,1980
1787380537,100,32,129315,336.77,1980
1787380538,0,0,129315,291.69,1980
1787380539,100,33,129315,332.17,1980
1787380540,50,16,129315,304.69,1980
1787380541,100,32,129315,287.33,1980
1787380542,100,33,129315,335.16,1980
1787380543,100,32,129315,335.42,1980
1787380544,100,32,129315,279.49,1980
1787380545,100,32,129315,335.46,1980
1787380547,0,0,129315,227.34,1980
1787380548,100,32,129315,334.77,1980
1787380549,100,32,129315,333.39,1980
1787380550,100,32,129315,285.88,1980
1787380551,100,32,129315,313.31,1980
1787380552,100,32,129315,250.73,1980
1787380553,100,32,129315,335.79,1980
1787380554,100,32,129315,285.05,1980
1787380555,100,32,129315,336.49,1980
1787380556,0,0,129315,311.68,1980
1787380557,100,32,129315,284.11,1980
1787380558,100,33,129315,336.15,1980
1787380559,100,32,129315,337.12,1980
1787380560,0,0,129315,302.07,1980
1787380561,100,32,129315,327.28,1980
1787380562,100,32,129315,336.86,1980
1787380563,100,32,129315,337.64,1980
1787380564,97,32,129315,311.94,1980
1787380565,100,32,129315,316.64,1980
1787380566,100,33,129315,336.67,1980
1787380567,100,32,129315,338.02,1980
1787380568,100,32,129315,290.78,1980
1787380569,100,33,129315,337.44,1980
1787380570,100,32,129315,336.29,1980
1787380571,100,33,129315,336.93,1980
1787380572,0,0,129315,267.86,1980
1787380573,100,33,129315,300.45,1980
1787380574,100,32,129315,335.27,1980
1787380575,100,32,129315,279.15,1980
1787380577,100,32,129315,335.11,1980
1787380578,100,33,129315,336.63,1980
1787380579,100,32,129315,236.51,1980
1787380580,100,32,129315,335.10,1980
1787380581,10,4,129315,282.99,1980
1787380582,100,32,129315,334.40,1980
1787380583,0,0,129315,282.38,1980
1787380584,100,32,129315,302.87,1980
1787380585,100,32,129315,334.40,1980
1787380586,100,32,129315,333.98,1980
1787380587,100,32,129315,333.45,1980
1787380588,100,32,129315,277.83,1980
1787380589,100,32,129315,334.69,1980
1787380590,100,32,129315,334.91,1980
1787380591,100,32,129315,227.06,1980
1787380592,100,32,129315,333.61,1980
1787380593,0,0,129315,281.74,1980
1787380594,100,32,129315,334.44,1980
1787380595,0,0,129315,296.80,1980
1787380596,0,0,129315,126.77,1980
1787380597,100,32,129315,195.98,1980
1787380598,100,33,129315,333.39,1980
1787380599,30,10,129315,293.13,1980
1787380600,100,32,129315,319.87,1980
1787380601,100,32,129315,334.71,1980
1787380602,100,32,129315,226.15,1980
1787380603,100,32,129315,334.28,1980
1787380604,100,33,129315,333.02,1980
1787380605,100,32,129315,273.62,1980
1787380607,100,32,129315,334.65,1980
1787380608,0,0,129315,260.42,1980
1787380609,100,33,129315,293.98,1980
1787380610,100,32,129315,336.16,1980
1787380611,0,0,129315,280.76,1980
1787380612,100,33,129315,335.28,1980
1787380613,100,32,129315,336.16,1980
1787380614,100,32,129315,226.86,1980
1787380615,100,33,129315,335.08,1980
1787380616,88,32,129315,290.70,1980
1787380617,100,32,129315,335.61,1980
1787380618,100,33,129315,336.97,1980
1787380619,100,32,129315,284.58,1980
1787380620,100,32,129315,336.23,1980
1787380621,100,32,129315,283.03,1980
1787380622,100,32,129315,335.92,1980
1787380623,93,30,129315,318.20,1980
1787380624,100,32,129315,236.27,1980
1787380625,100,32,129315,336.85,1980
1787380626,100,32,129315,275.85,1980
1787380627,100,32,129315,336.40,1980
1787380628,73,24,129315,212.38,1980
1787380629,100,32,129315,334.75,1980
1787380630,52,17,129315,294.43,1980
1787380631,100,32,129315,320.16,1980
1787380632,89,29,129315,334.47,1980
1787380633,100,32,129315,231.27,1980
1787380634,100,32,129315,336.13,1980
1787380635,100,32,129315,275.93,1980
1787380637,100,32,129315,335.29,1980
1787380638,100,32,129315,221.48,1980
1787380639,100,32,129315,335.40,1980
1787380640,100,33,129315,336.11,1980
1787380641,100,32,129315,279.43,1980
1787380642,100,33,129315,334.30,1980
1787380643,0,0,129315,277.42,1980
1787380644,100,32,129315,296.04,1980
1787380645,100,32,129315,335.05,1980
1787380646,100,32,129315,335.46,1980
1787380647,94,30,129315,275.88,1980
1787380648,100,32,129315,334.02,1980
1787380649,100,33,129315,336.47,1980
1787380650,0,0,129315,291.20,1980
1787380651,100,32,129315,257.79,1980
1787380652,100,32,129315,334.45,1980
1787380653,100,32,129315,318.12,1980
1787380654,100,32,129315,293.41,1980
1787380655,100,33,129315,335.05,1980
1787380656,0,0,129315,279.75,1980
1787380657,100,32,129315,273.35,1980
1787380658,100,32,129315,333.92,1980
1787380659,100,32,129315,287.20,1980
1787380660,100,32,129315,335.62,1980
1787380661,100,32,129315,230.07,1980
1787380662,100,32,129315,335.35,1980
1787380663,100,32,129315,336.64,1980
1787380664,100,32,129315,287.44,1980
1787380666,100,32,129315,336.39,1980
1787380667,100,33,129315,337.25,1980
1787380668,96,31,129315,335.40,1980
1787380669,100,32,129315,281.38,1980
1787380670,100,32,129315,336.21,1980
1787380671,99,32,129315,335.91,1980
1787380672,100,32,129315,279.82,1980
1787380673,100,32,129315,337.48,1980
1787380674,100,33,129315,337.65,1980
1787380675,29,12,129315,211.33,1980
1787380676,100,32,129315,336.92,1980
1787380677,9,3,129315,290.25,1980
1787380678,100,32,129315,339.45,1980
1787380679,100,32,129315,337.53,1980
1787380680,100,32,129315,337.32,1980
1787380681,100,32,129315,286.39,1980
1787380682,100,32,129315,338.70,1980
1787380683,100,32,129315,284.57,1980
1787380684,100,32,129315,336.81,1980
1787380685,100,33,129315,337.71,1980
1787380686,0,0,129315,170.26,1980
1787380687,0,0,129315,135.24,1980
1787380688,100,32,129315,336.00,1980
1787380689,100,32,129315,336.44,1980
1787380690,100,32,129315,282.20,1980
1787380691,100,33,129315,336.62,1980
1787380692,0,0,129315,231.24,1980
1787380693,100,33,129315,324.93,1980
1787380694,100,32,129315,333.99,1980
1787380696,100,32,129315,277.86,1980
1787380697,100,33,129315,334.58,1980
1787380698,58,19,129315,317.05,1980
1787380699,100,32,129315,236.60,1980
1787380700,100,32,129315,333.53,1980
1787380701,99,32,129315,312.58,1980
1787380702,100,33,129315,302.05,1980
1787380703,100,32,129315,333.56,1980
1787380704,0,0,129315,244.61,1980
1787380705,100,32,129315,311.05,1980
1787380706,68,22,129315,313.51,1980
1787380707,100,32,129315,320.31,1980
1787380708,100,32,129315,334.40,1980
1787380709,0,0,129315,281.54,1980
1787380710,100,32,129315,333.01,1980
1787380711,18,7,129315,282.13,1980
1787380712,100,32,129315,334.47,1980
1787380713,100,33,129315,334.11,1980
1787380714,0,0,129315,228.52,1980
1787380715,100,32,129315,334.18,1980
1787380716,52,17,129315,292.03,1980
1787380717,100,32,129315,334.56,1980
1787380718,0,0,129315,291.71,1980
1787380719,100,32,129315,263.66,1980
1787380720,100,32,129315,335.14,1980
1787380721,100,32,129315,283.99,1980
1787380722,100,32,129315,335.76,1980
1787380723,0,0,129315,245.70,1980
1787380724,100,33,129315,318.54,1980
1787380725,0,0,129315,296.28,1980
1787380727,100,32,129315,336.06,1980
1787380728,0,0,129315,267.12,1980
1787380729,100,32,129315,298.12,1980
1787380730,100,32,129315,336.28,1980
1787380731,100,32,129315,281.78,1980
1787380732,100,32,129315,335.90,1980
1787380733,100,33,129315,335.93,1980
1787380734,100,32,129315,229.44,1980
1787380735,100,32,129315,336.46,1980
1787380736,100,33,129315,336.80,1980
1787380737,26,9,129315,304.18,1980
1787380738,100,32,129315,335.71,1980
1787380739,100,33,129315,336.70,1980
1787380740,100,33,129315,336.97,1980
1787380741,100,32,129315,229.60,1980
1787380742,100,32,129315,335.40,1980
1787380743,100,33,129315,336.71,1980
1787380744,100,32,129315,287.80,1980
1787380745,100,32,129315,335.46,1980
1787380746,100,33,129315,336.24,1980
1787380747,32,11,129315,230.28,1980
1787380748,100,33,129315,335.83,1980
1787380749,0,0,129315,286.65,1980
1787380750,100,32,129315,335.83,1980
1787380751,0,0,129315,277.00,1980
1787380752,100,32,129315,290.63,1980
1787380753,100,32,129315,335.07,1980
1787380754,97,32,129315,334.80,1980
1787380755,100,32,129315,278.83,1980
1787380757,100,33,129315,335.64,1980
1787380758,100,32,129315,336.80,1980
1787380759,100,32,129315,279.50,1980
1787380760,100,32,129315,335.06,1980
1787380761,100,33,129315,335.60,1980
1787380762,100,32,129315,275.82,1980
1787380763,100,32,129315,334.68,1980
1787380764,100,33,129315,335.65,1980
1787380765,34,13,129315,228.41,1980
1787380766,99,32,129315,332.78,1980
1787380767,91,30,129315,317.07,1980
1787380768,100,32,129315,327.68,1980
1787380769,100,32,129315,335.62,1980
1787380770,0,0,129315,147.32,1980
1787380771,0,0,129315,127.69,1980
1787380772,0,0,129315,127.56,1980
1787380773,0,0,129315,127.38,1980
1787380774,0,0,129315,127.25,1980
1787380775,0,0,129315,127.10,1980
1787380776,0,0,129315,127.01,1980
1787380777,0,0,129315,127.01,1980
1787380778,0,0,129315,127.02,1980
1787380779,0,0,129315,126.94,1980
1787380780,0,0,129315,126.88,1980
1787380781,0,0,129315,126.79,1980
1787380782,0,0,129315,126.82,1980
1787380783,0,0,129315,126.67,1980
1787380784,0,0,129315,126.65,1980
1787380785,0,0,129315,126.68,1980
1787380786,0,0,129315,126.57,1980
1787380788,0,0,129315,126.44,1980
1787380789,0,0,129315,126.38,1980
1787380790,0,0,129315,126.33,1980
1787380791,0,0,129315,126.34,1980
1787380792,0,0,129315,126.28,1980
1787380793,0,0,129315,126.18,1980
1787380794,0,0,129315,126.04,1980
1787380795,0,0,129315,125.92,1980
1787380796,0,0,129315,125.87,1980
1787380797,0,0,129315,125.73,1980
1787380798,0,0,129315,125.56,1980
1787380799,0,0,129315,125.50,1980
1787380800,0,0,129315,125.41,1980
1787380801,0,0,129315,125.26,1980
1787380802,0,0,129315,125.25,1980
1787380803,0,0,129315,125.07,1980
1787380804,0,0,129315,124.95,1980
1787380805,0,0,129315,124.90,1980
1787380806,0,0,129315,124.72,1980
1787380807,0,0,129315,124.72,1980
1787380808,0,0,129315,124.56,1980
1787380809,0,0,129315,124.51,1980
1787380810,0,0,129315,124.35,1980
1787380811,0,0,129315,124.31,1980
1787380812,0,0,129315,124.28,1980
1787380813,0,0,129315,124.26,1980
1787380814,0,0,129315,124.22,1980
1787380815,0,0,129315,124.16,1980
1787380816,0,0,129315,124.05,1980
1787380818,0,0,129315,124.04,1980
1787380819,0,0,129315,123.84,1980
1787380820,0,0,129315,123.96,1980
1787380821,0,0,129315,123.93,1980
1787380822,0,0,129315,123.91,1980
1787380823,0,0,129315,123.79,1980
1787380824,0,0,129315,123.83,1980
1787380825,0,0,129315,123.83,1980
1787380826,0,0,129315,123.79,1980
1787380827,0,0,129315,123.90,1980
1787380828,0,0,129315,123.93,1980
